location,distance
Казань,1309
Ульяновск,1525
Жигулевск,1660
Тольятти,1663
Самара,1742
Октябрьск,1841
Сызрань,1850
Кашпир,1865
Саратов,2180
Волжский,2530
Волгоград,2587
Шлюз 1 ВДСК,2589.2
Шлюз 2 ВДСК,2590.6
Шлюз 3 ВДСК,2592.3
Шлюз 4 ВДСК,2600
Шлюз 5 ВДСК,2602.2
Шлюз 6 ВДСК,2605
Шлюз 7 ВДСК,2606.4
Шлюз 8 ВДСК,2607.6
Шлюз 9 ВДСК,2608.8
Шлюз 10 ВДСК,2635.3
Шлюз 11 ВДСК,2662.7
Шлюз 12 ВДСК,2668.2
Шлюз 13 ВДСК,2683.5
Калач-на-Дону,2688
Цимлянское вдхр,2777
Цимлянск,2860
Волгодонск,2870
Шлюз 14 ВДСК,2870.6
Шлюз 15 ВДСК,2871.3
Николаевский шлюз,2931.4
Константиновский шлюз,2974
Кочетовский шлюз,3004.8
Мелиховская,3042.2
Багаевский,3072.3
Семикаракорск,3010.9
Ростов-на-Дону,3136.2
Азов,3168.8
Азовское море,3184
